match,tmdb_id,tmdb_company_name,wikidata_id,wikidata_company_name,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,6176,Southern Cross Feature Film Company,Q7569831,Southern Cross Feature Film Company,1.0000,1.0000,1.0000,5,1,1
PROBABLY,44694,Windows Production House,Q55637792,Windows Production House,1.0000,1.0000,1.0000,22,10,10
PROBABLY,11,WingNut Films,Q3569323,WingNut Films,1.0000,1.0000,1.0000,25,15,15
PROBABLY,29296,a.k.a. Cartoon,Q3491471,A.k.a. Cartoon,1.0000,1.0000,1.0000,7,1,1
PROBABLY,162773,Ave Fenix Pictures Studios,Q29885927,Ave Fenix Pictures Studios,1.0000,1.0000,1.0000,1,2,1
PROBABLY,8649,Mikros Image,Q3313794,Mikros Image,1.0000,1.0000,1.0000,20,3,3
PROBABLY,8674,Bibo Films,Q2901576,Bibo Films,1.0000,1.0000,1.0000,5,1,1
PROBABLY,162855,Lost Ones,Q108435408,Lost Ones,1.0000,1.0000,1.0000,1,1,1
PROBABLY,89136,DNA Productions,Q5205731,DNA Productions,1.0000,1.0000,1.0000,32,3,3
PROBABLY,29212,Novinski,Q28735356,Novinski,1.0000,1.0000,1.0000,2,1,1
PROBABLY,48694,Voz Audiovisual,Q61390305,Voz Audiovisual,1.0000,1.0000,1.0000,10,2,2
PROBABLY,189839,DOKI DOKI Factory,Q116172608,DOKI DOKI Factory,1.0000,1.0000,1.0000,1,1,1
PROBABLY,48790,Mikrofilm,Q11989449,Mikrofilm,1.0000,1.0000,1.0000,19,2,2
PROBABLY,20112,PFFR,Q7119088,PFFR,1.0000,1.0000,1.0000,18,1,1
PROBABLY,8618,Ciné Qua Non,Q27962052,Ciné qua non,1.0000,1.0000,1.0000,5,1,1
PROBABLY,48830,3DD Productions,Q4636263,3DD Productions,1.0000,1.0000,1.0000,30,1,1
PROBABLY,8609,TriStar Television,Q7839822,TriStar Television,1.0000,1.0000,1.0000,35,1,1
PROBABLY,8682,Gravity Entertainment,Q5598045,Gravity Entertainment,1.0000,1.0000,1.0000,2,1,1
PROBABLY,8601,Tim Burton Productions,Q17335713,Tim Burton Productions,1.0000,1.0000,1.0000,19,7,7
PROBABLY,8583,Minds Eye Entertainment,Q1936485,Minds Eye Entertainment,1.0000,1.0000,1.0000,28,4,4
PROBABLY,112836,Tarantula,Q65092157,Tarantula,1.0000,1.0000,1.0000,36,1,1
PROBABLY,89261,Nine Stories Productions,Q23058601,Nine Stories Productions,1.0000,1.0000,1.0000,20,2,2
PROBABLY,163011,Abhishek Agarwal Arts,Q111262042,Abhishek Agarwal Arts,1.0000,1.0000,1.0000,7,1,1
PROBABLY,8698,Hi Film Productions,Q116472084,Hi Film Production,1.0000,1.0000,1.0000,25,9,9
