match,id,P11806,name,autoq,wikidata_company_name,desc,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,6176,6176,Southern Cross Feature Film Company,Q7569831,Southern Cross Feature Film Company,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,44694,44694,Windows Production House,Q55637792,Windows Production House,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,22,10,10
PROBABLY,11,11,WingNut Films,Q3569323,WingNut Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,25,15,15
PROBABLY,29296,29296,a.k.a. Cartoon,Q3491471,A.k.a. Cartoon,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,1,1
PROBABLY,162773,162773,Ave Fenix Pictures Studios,Q29885927,Ave Fenix Pictures Studios,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,2,1
PROBABLY,8649,8649,Mikros Image,Q3313794,Mikros Image,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,20,3,3
PROBABLY,8674,8674,Bibo Films,Q2901576,Bibo Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,162855,162855,Lost Ones,Q108435408,Lost Ones,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,89136,89136,DNA Productions,Q5205731,DNA Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,32,3,3
PROBABLY,29212,29212,Novinski,Q28735356,Novinski,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,2,1,1
PROBABLY,48694,48694,Voz Audiovisual,Q61390305,Voz Audiovisual,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,10,2,2
PROBABLY,189839,189839,DOKI DOKI Factory,Q116172608,DOKI DOKI Factory,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,48790,48790,Mikrofilm,Q11989449,Mikrofilm,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,19,2,2
PROBABLY,20112,20112,PFFR,Q7119088,PFFR,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,18,1,1
PROBABLY,8618,8618,Ciné Qua Non,Q27962052,Ciné qua non,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,48830,48830,3DD Productions,Q4636263,3DD Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,30,1,1
PROBABLY,8609,8609,TriStar Television,Q7839822,TriStar Television,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,35,1,1
PROBABLY,8682,8682,Gravity Entertainment,Q5598045,Gravity Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,2,1,1
PROBABLY,8601,8601,Tim Burton Productions,Q17335713,Tim Burton Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,19,7,7
PROBABLY,8583,8583,Minds Eye Entertainment,Q1936485,Minds Eye Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,28,4,4
PROBABLY,112836,112836,Tarantula,Q65092157,Tarantula,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,36,1,1
PROBABLY,89261,89261,Nine Stories Productions,Q23058601,Nine Stories Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,20,2,2
PROBABLY,163011,163011,Abhishek Agarwal Arts,Q111262042,Abhishek Agarwal Arts,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,1,1
PROBABLY,8698,8698,Hi Film Productions,Q116472084,Hi Film Production,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,25,9,9
PROBABLY,29313,29313,Pearl Street Films,Q7158172,Pearl Street Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,13,4,4
